University_uni,Faculty,Department,City,Type,Founded_Year_clean,University_clean,Stream,College Type,University_stream,Minimum Absolute Score,Minimum Percentage (%),Stream_Type
ain shams university,Faculty of Medicine,Internal Medicine,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Medicine,Internal Medicine,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Medicine,Internal Medicine,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Medicine,Surgery,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Medicine,Surgery,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Medicine,Surgery,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Medicine,Pediatrics,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Medicine,Pediatrics,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Medicine,Pediatrics,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Medicine,Obstetrics & Gynecology,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Medicine,Obstetrics & Gynecology,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Medicine,Obstetrics & Gynecology,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Medicine,Pharmacology,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Medicine,Pharmacology,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Medicine,Pharmacology,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Medicine,Anatomy,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Medicine,Anatomy,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Medicine,Anatomy,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Engineering,Civil Engineering,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Engineering,Civil Engineering,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Engineering,Civil Engineering,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Engineering,Mechanical Engineering,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Engineering,Mechanical Engineering,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Engineering,Mechanical Engineering,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Engineering,Electrical Engineering,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Engineering,Electrical Engineering,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Engineering,Electrical Engineering,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Engineering,Architecture,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Engineering,Architecture,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Engineering,Architecture,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Engineering,Computer Engineering,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Engineering,Computer Engineering,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Engineering,Computer Engineering,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Science,Mathematics,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Science,Mathematics,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Science,Mathematics,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Science,Physics,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Science,Physics,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Science,Physics,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Science,Chemistry,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Science,Chemistry,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Science,Chemistry,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Science,Geology,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Science,Geology,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Science,Geology,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Science,Botany,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Science,Botany,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Science,Botany,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Science,Zoology,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Science,Zoology,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Science,Zoology,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Agriculture,Agronomy,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Agriculture,Agronomy,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Agriculture,Agronomy,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Agriculture,Horticulture,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Agriculture,Horticulture,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Agriculture,Horticulture,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Agriculture,Animal Production,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Agriculture,Animal Production,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Agriculture,Animal Production,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Agriculture,Soil Science,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Agriculture,Soil Science,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Agriculture,Soil Science,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Agriculture,Plant Pathology,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Agriculture,Plant Pathology,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Agriculture,Plant Pathology,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Commerce,Accounting,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Commerce,Accounting,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Commerce,Accounting,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Commerce,Business Administration,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Commerce,Business Administration,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Commerce,Business Administration,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Commerce,Economics,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Commerce,Economics,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Commerce,Economics,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Commerce,Statistics,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Commerce,Statistics,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Commerce,Statistics,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Law,Public Law,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Law,Public Law,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Law,Public Law,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Law,Private Law,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Law,Private Law,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Law,Private Law,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Law,International Law,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Law,International Law,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Law,International Law,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Law,Criminal Law,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Law,Criminal Law,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Law,Criminal Law,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Arts,English Language & Literature,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Arts,English Language & Literature,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Arts,English Language & Literature,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Arts,Arabic,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
ain shams university,Faculty of Arts,Arabic,Cairo,Public,1950,ain shams university,Science-Science,Medicine (Medicine),Ain Shams University,395.0,96.3,Science
ain shams university,Faculty of Arts,Arabic,Cairo,Public,1950,ain shams university,Literary,Law (),Ain Shams University,270.0,71.1,Literary
ain shams university,Faculty of Arts,History,Cairo,Public,1950,ain shams university,Science-Math,Medicine (Medicine),Ain Shams University,397.0,96.8,Science
